2012 rank,City,State[5],2012 estimate,2010 Census,Change,2010 land area,2010 population density,ANSI,Location
140,Rancho Cucamonga,California,"170,746","165,269",3.31%,39.851æsqæmi,"4,147æperæsqæmi",2411514,"34.1233,117.5642"
,,,,,,103.212ækm2,"1,601ækm-2",,
141,Santa Rosa,California,"170,685","167,815",1.71%,41.294æsqæmi,"4,064æperæsqæmi",2411827,"38.4468,122.7061"
,,,,,,106.950ækm2,"1,569ækm-2",,
142,Port St. Lucie,Florida,"168,716","164,603",2.50%,113.953æsqæmi,"1,444æperæsqæmi",2404558,"27.2810,80.3838"
,,,,,,295.136ækm2,558ækm-2,,
143,Ontario,California,"167,211","163,924",2.01%,49.941æsqæmi,"3,282æperæsqæmi",2411323,"34.0395,117.6088"
,,,,,,129.345ækm2,"1,267ækm-2",,
144,Tempe,Arizona,"166,842","161,719",3.17%,39.929æsqæmi,"4,050æperæsqæmi",2412045,"33.3884,111.9318"
,,,,,,103.416ækm2,"1,564ækm-2",,
145,Vancouver,Washington,"165,489","161,791",2.29%,46.456æsqæmi,"3,483æperæsqæmi",2412146,"45.6372,122.5965"
,,,,,,120.322ækm2,"1,345ækm-2",,
146,Springfield,Missouri,"162,191","159,498",1.69%,81.720æsqæmi,"1,952æperæsqæmi",2395942,"37.1942,93.2913"
,,,,,,211.654ækm2,754ækm-2,,
147,Cape Coral,Florida,"161,248","154,305",4.50%,105.673æsqæmi,"1,460æperæsqæmi",2403990,"26.6431,81.9973"
,,,,,,273.691ækm2,564ækm-2,,
148,Pembroke Pines[25],Florida,"160,306","154,019",4.08%,33.124æsqæmi,"4,672æperæsqæmi",2404502,"26.0212,80.3404"
,,,,,,85.790ækm2,"1,804ækm-2",,
149,Sioux Falls,South Dakota,"159,908","153,888",3.91%,72.964æsqæmi,"2,109æperæsqæmi",1267566,"43.5383,96.7320"
,,,,,,188.977ækm2,814ækm-2,,
150,Peoria,Arizona,"159,789","154,065",3.72%,174.404æsqæmi,883æperæsqæmi,2411401,"33.7877,112.3111"
,,,,,,451.704ækm2,341ækm-2,,
151,Lancaster,California,"159,055","156,633",1.55%,94.276æsqæmi,"1,661æperæsqæmi",2411620,"34.6936,118.1753"
,,,,,,244.175ækm2,641ækm-2,,
